date,Number of cases
01/11/2020,41
01/12/2020,41
01/13/2020,41
01/15/2020,41
01/16/2020,45
01/17/2020,62
01/19/2020,198
01/20/2020,258
01/21/2020,440
01/22/2020,571
01/23/2020,830
01/24/2020,1287
01/25/2020,1975
01/26/2020,2744
01/27/2020,4515
01/28/2020,5974
01/29/2020,7711
01/30/2020,9692
01/31/2020,11791
02/01/2020,14380
02/02/2020,17205
02/03/2020,20438
02/04/2020,24324
02/05/2020,28018
02/06/2020,31161
02/07/2020,34546
02/08/2020,37198
02/09/2020,40171
02/10/2020,42638
02/11/2020,44653
02/12/2020,59804
02/13/2020,63851
02/14/2020,66492
02/15/2020,68500
02/16/2020,70548
02/17/2020,72436
02/18/2020,74185
02/19/2020,74576
02/20/2020,75465
02/21/2020,76288
02/22/2020,76936
02/23/2020,77150
02/24/2020,77658
02/25/2020,78064
02/26/2020,78497
02/27/2020,78824
02/28/2020,79251
02/29/2020,79824
03/01/2020,80026
03/02/2020,80151
03/03/2020,80270
